Time,Concentrations,value,Labels,Dataset,id
3,30 ng/test,60,30 ng/test,1.5y + 5y short titration,182
4,30 ng/test,65,30 ng/test,1.5y + 5y short titration,183
5,30 ng/test,64,30 ng/test,1.5y + 5y short titration,184
0,60 ng/test,100,60 ng/test,1.5y + 5y short titration,185
0.5,60 ng/test,102,60 ng/test,1.5y + 5y short titration,186
1,60 ng/test,82,60 ng/test,1.5y + 5y short titration,187
1.5,60 ng/test,79,60 ng/test,1.5y + 5y short titration,188
2,60 ng/test,76,60 ng/test,1.5y + 5y short titration,189
3,60 ng/test,79,60 ng/test,1.5y + 5y short titration,190
4,60 ng/test,76,60 ng/test,1.5y + 5y short titration,191
5,60 ng/test,66,60 ng/test,1.5y + 5y short titration,192
0,125 ng/test,100,125 ng/test,1.5y + 5y short titration,193
0.5,125 ng/test,106,125 ng/test,1.5y + 5y short titration,194
1,125 ng/test,98,125 ng/test,1.5y + 5y short titration,195
1.5,125 ng/test,102,125 ng/test,1.5y + 5y short titration,196
2,125 ng/test,76,125 ng/test,1.5y + 5y short titration,197
3,125 ng/test,98,125 ng/test,1.5y + 5y short titration,198
4,125 ng/test,85,125 ng/test,1.5y + 5y short titration,199
5,125 ng/test,70,125 ng/test,1.5y + 5y short titration,200
